Project,Category,type,wordcount,Path,File,topic,tutorial,pageNumber,language
Social-Bots,Docs-Nodes,Discord Bot,148,Projects/Social-Bots/Schemas/Docs-Nodes/D/Discord/Discord-Bot/discord-bot.json,discord-bot.json,none,none,none,
Social-Bots,Docs-Nodes,Social Bots,71,Projects/Social-Bots/Schemas/Docs-Nodes/S/Social/Social-Bots/social-bots.json,social-bots.json,none,none,none,ES 
Social-Bots,Docs-Nodes,Social Bot Command,272,Projects/Social-Bots/Schemas/Docs-Nodes/S/Social/Social-Bot-Command/social-bot-command.json,social-bot-command.json,none,none,none,
Social-Bots,Docs-Nodes,Slack Bot,166,Projects/Social-Bots/Schemas/Docs-Nodes/S/Slack/Slack-Bot/slack-bot.json,slack-bot.json,none,none,none,
Social-Bots,Docs-Nodes,Telegram Bot,135,Projects/Social-Bots/Schemas/Docs-Nodes/T/Telegram/Telegram-Bot/telegram-bot.json,telegram-bot.json,none,none,none,DE 
Social-Bots,Docs-Nodes,Twitter Bot,166,Projects/Social-Bots/Schemas/Docs-Nodes/T/Twitter/Twitter-Bot/twitter-bot.json,twitter-bot.json,none,none,none,
Social-Bots,Docs-Nodes,Announcement,137,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement/announcement.json,announcement.json,none,none,none,
Social-Bots,Docs-Nodes,Announcement Condition,0,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement-Condition/announcement-condition.json,announcement-condition.json,none,none,none,
Social-Bots,Docs-Nodes,Announcement Formula,0,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement-Formula/announcement-formula.json,announcement-formula.json,none,none,none,
Education,Docs-Concepts,Current projects,75,Projects/Education/Schemas/Docs-Concepts/C/Current/Current-projects/current-projects.json,current-projects.json,none,none,none,DE 
Education,Docs-Concepts,Technical term overview,313,Projects/Education/Schemas/Docs-Concepts/T/Technical/Technical-term-overview/technical-term-overview.json,technical-term-overview.json,none,none,none,DE 
Education,Docs-Topics,Keyboard Shortcut Quick Guide,392,Projects/Education/Schemas/Docs-Topics/Q/Quick/Quick-Guides/quick-guides-001-keyboard-shortcut-quick-guide.json,quick-guides-001-keyboard-shortcut-quick-guide.json,Quick Guides,none,1,RU DE 
Education,Docs-Nodes,Docs Space Style,32,Projects/Education/Schemas/Docs-Nodes/D/Docs/Docs-Space-Style/docs-space-style.json,docs-space-style.json,none,none,none,RU 
Education,Docs-Nodes,Docs Space Settings,50,Projects/Education/Schemas/Docs-Nodes/D/Docs/Docs-Space-Settings/docs-space-settings.json,docs-space-settings.json,none,none,none,RU 
Education,Docs-Nodes,Tutorial Step,835,Projects/Education/Schemas/Docs-Nodes/T/Tutorial/Tutorial-Step/tutorial-step.json,tutorial-step.json,none,none,none,ES 
Education,Docs-Nodes,Tutorial,1606,Projects/Education/Schemas/Docs-Nodes/T/Tutorial/Tutorial/tutorial.json,tutorial.json,none,none,none,DE RU ES 
