Project,Category,File,Path,type,wordcount,topic,tutorial,pageNumber,language
Social-Bots,Docs-Nodes,discord-bot.json,Projects/Social-Bots/Schemas/Docs-Nodes/D/Discord/Discord-Bot/discord-bot.json,Discord Bot,148,none,none,none,
Social-Bots,Docs-Nodes,social-bots.json,Projects/Social-Bots/Schemas/Docs-Nodes/S/Social/Social-Bots/social-bots.json,Social Bots,71,none,none,none,ES 
Social-Bots,Docs-Nodes,social-bot-command.json,Projects/Social-Bots/Schemas/Docs-Nodes/S/Social/Social-Bot-Command/social-bot-command.json,Social Bot Command,272,none,none,none,
Social-Bots,Docs-Nodes,slack-bot.json,Projects/Social-Bots/Schemas/Docs-Nodes/S/Slack/Slack-Bot/slack-bot.json,Slack Bot,166,none,none,none,
Social-Bots,Docs-Nodes,telegram-bot.json,Projects/Social-Bots/Schemas/Docs-Nodes/T/Telegram/Telegram-Bot/telegram-bot.json,Telegram Bot,135,none,none,none,DE 
Social-Bots,Docs-Nodes,twitter-bot.json,Projects/Social-Bots/Schemas/Docs-Nodes/T/Twitter/Twitter-Bot/twitter-bot.json,Twitter Bot,166,none,none,none,
Social-Bots,Docs-Nodes,announcement.json,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement/announcement.json,Announcement,137,none,none,none,
Social-Bots,Docs-Nodes,announcement-condition.json,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement-Condition/announcement-condition.json,Announcement Condition,0,none,none,none,
Social-Bots,Docs-Nodes,announcement-formula.json,Projects/Social-Bots/Schemas/Docs-Nodes/A/Announcement/Announcement-Formula/announcement-formula.json,Announcement Formula,0,none,none,none,
Social-Trading,Docs-Nodes,social-trading-bot.json,Projects/Social-Trading/Schemas/Docs-Nodes/S/Social/Social-Trading-Bot/social-trading-bot.json,Social Trading Bot,17,none,none,none,
Education,Docs-Concepts,dictionary.json,Projects/Education/Schemas/Docs-Concepts/D/Dictionary/Dictionary/dictionary.json,Dictionary,114,none,none,none,
Education,Docs-Concepts,current-projects.json,Projects/Education/Schemas/Docs-Concepts/C/Current/Current-projects/current-projects.json,Current projects,77,none,none,none,DE 
Education,Docs-Concepts,technical-term-overview.json,Projects/Education/Schemas/Docs-Concepts/T/Technical/Technical-term-overview/technical-term-overview.json,Technical term overview,313,none,none,none,DE 
Education,Docs-Topics,quick-guides-001-keyboard-shortcut-quick-guide.json,Projects/Education/Schemas/Docs-Topics/Q/Quick/Quick-Guides/quick-guides-001-keyboard-shortcut-quick-guide.json,Keyboard Shortcut Quick Guide,392,Quick Guides,none,1,RU DE 
Education,Docs-Nodes,docs-space-style.json,Projects/Education/Schemas/Docs-Nodes/D/Docs/Docs-Space-Style/docs-space-style.json,Docs Space Style,32,none,none,none,RU 
Education,Docs-Nodes,docs-space-settings.json,Projects/Education/Schemas/Docs-Nodes/D/Docs/Docs-Space-Settings/docs-space-settings.json,Docs Space Settings,50,none,none,none,RU 
Education,Docs-Nodes,tutorial-step.json,Projects/Education/Schemas/Docs-Nodes/T/Tutorial/Tutorial-Step/tutorial-step.json,Tutorial Step,835,none,none,none,ES 
Education,Docs-Nodes,tutorial.json,Projects/Education/Schemas/Docs-Nodes/T/Tutorial/Tutorial/tutorial.json,Tutorial,1606,none,none,none,DE RU ES 
Education,Docs-Nodes,tutorial-topic.json,Projects/Education/Schemas/Docs-Nodes/T/Tutorial/Tutorial-Topic/tutorial-topic.json,Tutorial Topic,67,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugin-project.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Project/plugin-project.json,Plugin Project,38,none,none,none,
Community-Plugins,Docs-Nodes,plugin-file.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-File/plugin-file.json,Plugin File,130,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugin-trading-mines.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Trading-Mines/plugin-trading-mines.json,Plugin Trading Mines,42,none,none,none,
Community-Plugins,Docs-Nodes,plugin-trading-systems.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Trading-Systems/plugin-trading-systems.json,Plugin Trading Systems,42,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugin-api-maps.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-API-Maps/plugin-api-maps.json,Plugin API Maps,30,none,none,none,
Community-Plugins,Docs-Nodes,plugin-super-scripts.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Super-Scripts/plugin-super-scripts.json,Plugin Super Scripts,34,none,none,none,
Community-Plugins,Docs-Nodes,plugin-tutorials.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Tutorials/plugin-tutorials.json,Plugin Tutorials,61,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugin-file-position.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-File-Position/plugin-file-position.json,Plugin File Position,72,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugin-trading-engines.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Trading-Engines/plugin-trading-engines.json,Plugin Trading Engines,42,none,none,none,
Community-Plugins,Docs-Nodes,plugin-data-mines.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugin/Plugin-Data-Mines/plugin-data-mines.json,Plugin Data Mines,21,none,none,none,
Community-Plugins,Docs-Nodes,plugins.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugins/plugins.json,Plugins,126,none,none,none,ES 
Community-Plugins,Docs-Nodes,plugins.json,Projects/Community-Plugins/Schemas/Docs-Nodes/P/Plugins/Plugins/plugins.json,Plugins,126,none,none,none,EL RU 
User-Apps,Docs-Nodes,task-server-app.json,Projects/User-Apps/Schemas/Docs-Nodes/T/Task/Task-Server-App/task-server-app.json,Task Server App,47,none,none,none,
Foundations,Docs-Reviews,superalgos-project-review-017-superalgos-review-best-ever.json,Projects/Foundations/Schemas/Docs-Reviews/S/,Superalgos Review - Best Ever,98,none,none,17,ES RU ,Superalgos Project Review
